Date,Open,High,Low,Close,Volume,Market Cap
09-Oct-21,"$3,560.00 ","$3,628.24 ","$3,544.64 ","$3,575.72 ","$12,707,036,942 ","$421,440,173,778 "
10-Oct-21,"$3,575.02 ","$3,603.24 ","$3,414.97 ","$3,425.85 ","$16,171,746,693 ","$403,822,590,446 "
11-Oct-21,"$3,419.73 ","$3,622.29 ","$3,385.76 ","$3,545.35 ","$18,579,189,588 ","$417,956,526,087 "
12-Oct-21,"$3,546.48 ","$3,546.48 ","$3,407.34 ","$3,492.57 ","$18,109,578,443 ","$411,781,081,166 "
13-Oct-21,"$3,492.75 ","$3,607.74 ","$3,417.60 ","$3,606.20 ","$16,211,275,589 ","$425,218,703,480 "
14-Oct-21,"$3,604.96 ","$3,819.26 ","$3,590.28 ","$3,786.01 ","$19,443,499,909 ","$446,474,897,131 "
15-Oct-21,"$3,790.15 ","$3,895.47 ","$3,735.36 ","$3,862.63 ","$20,966,841,512 ","$455,566,504,000 "
16-Oct-21,"$3,865.67 ","$3,962.45 ","$3,805.89 ","$3,830.38 ","$16,578,095,629 ","$451,814,143,160 "
17-Oct-21,"$3,829.86 ","$3,914.90 ","$3,660.72 ","$3,847.10 ","$15,908,090,346 ","$453,838,694,184 "
18-Oct-21,"$3,847.73 ","$3,888.21 ","$3,686.75 ","$3,748.76 ","$17,386,204,158 ","$442,286,890,171 "
19-Oct-21,"$3,747.16 ","$3,883.93 ","$3,736.78 ","$3,877.65 ","$15,998,757,133 ","$457,545,764,474 "
20-Oct-21,"$3,877.73 ","$4,167.47 ","$3,833.29 ","$4,155.99 ","$20,338,319,988 ","$490,444,280,909 "
21-Oct-21,"$4,161.71 ","$4,366.09 ","$4,032.48 ","$4,054.32 ","$28,220,661,820 ","$478,500,948,880 "
22-Oct-21,"$4,055.69 ","$4,162.98 ","$3,908.34 ","$3,970.18 ","$19,432,937,968 ","$468,623,912,328 "
23-Oct-21,"$3,971.36 ","$4,171.66 ","$3,944.63 ","$4,171.66 ","$14,781,537,792 ","$492,462,196,227 "
24-Oct-21,"$4,171.86 ","$4,185.73 ","$3,967.12 ","$4,087.90 ","$14,978,083,638 ","$482,628,847,456 "
25-Oct-21,"$4,084.43 ","$4,236.67 ","$4,072.03 ","$4,217.88 ","$15,995,727,040 ","$498,030,801,217 "
26-Oct-21,"$4,217.34 ","$4,289.13 ","$4,106.82 ","$4,131.10 ","$17,157,714,562 ","$487,840,182,030 "
27-Oct-21,"$4,132.17 ","$4,299.15 ","$3,930.26 ","$3,930.26 ","$26,219,530,404 ","$464,175,061,361 "
28-Oct-21,"$3,924.82 ","$4,293.15 ","$3,905.71 ","$4,287.32 ","$25,958,154,575 ","$506,402,198,179 "
29-Oct-21,"$4,288.69 ","$4,455.74 ","$4,271.71 ","$4,414.75 ","$22,967,641,914 ","$521,512,615,610 "
30-Oct-21,"$4,414.24 ","$4,426.85 ","$4,252.49 ","$4,325.65 ","$14,615,490,626 ","$511,045,675,623 "
31-Oct-21,"$4,322.74 ","$4,394.45 ","$4,179.02 ","$4,288.07 ","$17,498,160,238 ","$506,663,636,947 "
01-Nov-21,"$4,288.22 ","$4,377.32 ","$4,160.97 ","$4,324.63 ","$17,985,288,261 ","$511,040,780,623 "
02-Nov-21,"$4,322.50 ","$4,599.95 ","$4,288.69 ","$4,584.80 ","$20,794,448,222 ","$541,846,540,463 "
03-Nov-21,"$4,589.68 ","$4,664.91 ","$4,462.98 ","$4,607.19 ","$21,220,463,155 ","$544,555,114,009 "
04-Nov-21,"$4,604.68 ","$4,606.52 ","$4,426.62 ","$4,537.32 ","$18,415,244,464 ","$536,356,841,434 "
05-Nov-21,"$4,537.42 ","$4,570.90 ","$4,447.49 ","$4,486.24 ","$15,086,003,586 ","$530,378,899,238 "
06-Nov-21,"$4,482.65 ","$4,531.00 ","$4,334.97 ","$4,521.58 ","$14,429,076,700 ","$534,616,843,813 "
07-Nov-21,"$4,523.98 ","$4,640.92 ","$4,510.98 ","$4,620.55 ","$13,541,376,033 ","$546,381,671,971 "
08-Nov-21,"$4,619.65 ","$4,822.36 ","$4,619.65 ","$4,812.09 ","$19,290,896,267 ","$569,094,330,697 "
09-Nov-21,"$4,810.07 ","$4,837.59 ","$4,718.04 ","$4,735.07 ","$20,834,172,627 ","$560,049,280,556 "
10-Nov-21,"$4,733.36 ","$4,859.50 ","$4,485.09 ","$4,636.17 ","$22,748,160,545 ","$548,414,296,327 "
11-Nov-21,"$4,635.45 ","$4,778.06 ","$4,580.99 ","$4,730.38 ","$17,933,201,129 ","$559,621,726,330 "
12-Nov-21,"$4,724.31 ","$4,808.74 ","$4,510.92 ","$4,667.12 ","$18,316,060,208 ","$552,199,380,998 "
13-Nov-21,"$4,666.72 ","$4,702.12 ","$4,582.18 ","$4,651.46 ","$14,457,436,261 ","$550,408,539,446 "
14-Nov-21,"$4,648.63 ","$4,689.84 ","$4,516.94 ","$4,626.36 ","$12,172,962,219 ","$547,499,259,423 "
15-Nov-21,"$4,627.09 ","$4,764.64 ","$4,546.60 ","$4,557.50 ","$16,275,851,299 ","$539,410,730,883 "
16-Nov-21,"$4,570.48 ","$4,891.70 ","$4,144.33 ","$4,216.37 ","$27,417,502,801 ","$499,090,512,787 "
17-Nov-21,"$4,213.91 ","$4,300.31 ","$4,107.13 ","$4,287.59 ","$22,183,461,850 ","$507,579,384,616 "
18-Nov-21,"$4,287.80 ","$4,343.56 ","$3,959.23 ","$4,000.65 ","$21,383,250,893 ","$473,663,292,938 "
19-Nov-21,"$3,995.73 ","$4,311.71 ","$3,982.92 ","$4,298.31 ","$20,626,269,711 ","$508,960,524,908 "
20-Nov-21,"$4,298.35 ","$4,434.39 ","$4,209.24 ","$4,409.93 ","$15,448,261,277 ","$522,236,291,601 "
21-Nov-21,"$4,412.20 ","$4,422.49 ","$4,255.46 ","$4,269.73 ","$14,094,831,413 ","$505,690,293,990 "
22-Nov-21,"$4,266.51 ","$4,302.02 ","$4,033.57 ","$4,088.46 ","$19,752,218,877 ","$484,275,218,142 "
23-Nov-21,"$4,089.68 ","$4,385.48 ","$4,069.77 ","$4,340.76 ","$22,133,497,059 ","$514,217,959,090 "
24-Nov-21,"$4,340.04 ","$4,376.88 ","$4,176.18 ","$4,239.98 ","$21,838,037,128 ","$502,285,105,696 "
25-Nov-21,"$4,271.39 ","$4,550.52 ","$4,249.77 ","$4,274.74 ","$18,705,358,318 ","$506,472,632,401 "
26-Nov-21,"$4,522.21 ","$4,550.84 ","$3,933.51 ","$4,030.91 ","$26,281,795,488 ","$477,672,051,593 "
27-Nov-21,"$4,043.00 ","$4,187.68 ","$4,033.51 ","$4,096.91 ","$16,515,693,874 ","$485,548,014,481 "
28-Nov-21,"$4,101.65 ","$4,297.92 ","$3,989.97 ","$4,294.45 ","$15,953,126,340 ","$509,016,708,179 "
